번호,구분,출처,빈칸 문장,정답,구절 전문,설교 제목,쉬운 풀이
11,이벤트 출제,사사기 8장 23절,내가 너희를 다스리지 아니하겠고 ＿＿＿ 너희를 다스리시리라,여호와께서,내가 너희를 다스리지 아니하겠고 여호와께서 너희를 다스리시리라,1도의 위험,기드온이 전쟁에서 이긴 뒤 사람들이 '우리를 다스려 왕이 되어 주세요'라고 했을 때 한 대답이에요. 기드온은 '나는 왕이 안 될 거예요. 오직 하나님이 우리의 왕이세요'라고 고백한 거예요. 여기서 '다스리다'는 왕이 되어 사람들을 이끈다는 뜻이에요. 사람이 높은 자리에 올라도 진짜 왕은
12,이벤트 출제,베드로전서 4장 16절,만일 ＿＿＿으로 고난을 받으면 그 이름으로 하나님께 영광을 돌리라,그리스도인,만일 그리스도인으로 고난을 받으면 그 이름으로 하나님께 영광을 돌리라,그리스도인이란,"예수님을 믿는다는 이유로 힘든 일이나 놀림을 당할 때가 있어요. 그럴 때 부끄러워하지 말고 오히려 하나님께 감사하라는 말씀이에요. 여기서 '그리스도인'은 '예수님을 닮은 사람'이라는 뜻인데, 처음엔 놀리려고 부른 이름이었지만 우리에겐 최고의 칭찬이에요. 예수님 때문에 겪는 고난은 창피한"
13,일반 광고,마가복음 11장 3절,＿＿＿ 쓰시겠다 하라 그리하면 즉시 이리로 보내리라,주가,주가 쓰시겠다 하라 그리하면 즉시 이리로 보내리라,주가 쓰시겠다 하라 (1부),"예수님이 예루살렘에 들어가시기 전, 제자들에게 어린 나귀를 데려오라고 하십니다. 누가 왜 나귀를 푸느냐고 묻거든 '주가 쓰시겠다'고만 말하라고 하신 거예요. 여기서 '주'는 예수님을 뜻하고, '쓰시겠다'는 주님이 나를 필요로 하신다는 말이에요. 주님이 부르실 때 화려한 재능이 아니라, "
14,일반 광고,마가복음 16장 6절,너희가 십자가에 못 박히신 나사렛 예수를 찾는구나 그가 ＿＿＿ 여기 계시지 아니하니라,살아나셨고,너희가 십자가에 못 박히신 나사렛 예수를 찾는구나 그가 살아나셨고 여기 계시지 아니하니라,"빈 손, 빈 무덤","무덤을 찾아온 여인들에게 천사가 전한 말이에요. 여기서 '나사렛 예수'는 십자가에서 돌아가신 그 예수님을 가리켜요. 그런데 놀랍게도 '그가 살아나셨고 여기 계시지 아니하니라', 즉 무덤이 텅 비었다는 소식이에요. 죽음으로 끝난 줄 알았던 자리가 도리어 부활의 소망이 시작되는 자리가 되었"
15,일반 광고,민수기 14장 24절,그러나 내 종 ＿＿＿은 그 마음이 그들과 달라서 나를 온전히 따랐은즉 그의 자손이 그 땅을 차지하리라,갈렙,그러나 내 종 갈렙은 그 마음이 그들과 달라서 나를 온전히 따랐은즉 그의 자손이 그 땅을 차지하리라,갈렙처럼 보고 먹고 따르라,"이 구절은 다른 사람들과 달리 하나님을 끝까지 믿고 따른 갈렙에게 하나님이 복을 주시겠다는 약속이에요. 여기서 '온전히 따랐다'는 딴 마음 없이, 틈 없이 하나님만 가득 채워 따랐다는 뜻이에요. 사람들은 좋은 것을 보고도 '그래도'라며 하나님을 가볍게 여겼지만, 갈렙은 마음을 다르게 먹"
16,일반 광고,사무엘상 26장 24절,오늘 왕의 생명을 내가 중히 여긴 것 같이 내 생명을 ＿＿＿ 중히 여기셔서 모든 환난에서 나를 구하여 내시기를 바라나이다,여호와께서,오늘 왕의 생명을 내가 중히 여긴 것 같이 내 생명을 여호와께서 중히 여기셔서 모든 환난에서 나를 구하여 내시기를 바라나이다,"으른입니까, 어른입니까?","다윗은 자기를 죽이려던 사울을 죽일 기회가 있었지만 그 생명을 소중히 여겨 살려 주었어요. 이 구절은 '제가 왕의 목숨을 귀하게 여긴 것처럼, 하나님도 제 목숨을 귀하게 여겨 어려움에서 건져 주세요'라는 다윗의 기도예요. 여기서 '중히 여긴다'는 말은 '아주 소중하게 대한다'는 뜻이에요"
17,일반 광고,잠언 4장 6절,＿＿＿를 버리지 말라 그가 너를 보호하리라 그를 사랑하라 그가 너를 지키리라,지혜,지혜를 버리지 말라 그가 너를 보호하리라 그를 사랑하라 그가 너를 지키리라,예수님을 대하는 법,"이 구절에서 '지혜'는 예수님을 가리켜요. 예수님을 사랑하고 곁에 두면, 그분이 나를 지켜 주신다는 약속이에요. 여기서 '버리지 말라'는 예수님을 무관심 속에 내버려 두지 말라는 뜻이고, '사랑하라'는 그분께 마음을 두고 가까이하라는 뜻이에요. 그분을 사랑하는 것이 가장 큰 지혜이고, "
18,일반 광고,역대상 22장 12절,여호와께서 네게 ＿＿＿와 총명을 주사 네 하나님 여호와의 율법을 지키게 하시기를 더욱 원하노라,지혜,여호와께서 네게 지혜와 총명을 주사 네 하나님 여호와의 율법을 지키게 하시기를 더욱 원하노라,다윗처럼 축복합니다,"이 구절은 아버지 다윗이 아들 솔로몬을 위해 드린 축복 기도예요. 하나님이 솔로몬에게 지혜와 총명을 주셔서, 그 지혜로 무엇보다 하나님의 말씀을 잘 지키며 살기를 바란다는 뜻이에요. 여기서 '지혜와 총명'은 똑똑해지는 것만이 아니라, 하나님 말씀대로 바르게 살아갈 힘을 말해요. 설교처럼"
19,일반 광고,누가복음 1장 28절,＿＿＿를 받은 자여 평안할지어다 주께서 너와 함께하시도다,은혜,은혜를 받은 자여 평안할지어다 주께서 너와 함께하시도다,은혜를 받은 자여,천사가 마리아를 찾아와 건넨 인사예요. '은혜를 받은 자여'는 '하나님께 특별한 사랑을 받은 사람'이라는 뜻이에요. 여기서 '평안'은 걱정 없이 마음이 든든한 상태를 말해요. 천사는 마리아에게 '하나님이 너와 함께 계시니 안심하라'고 말해 준 거예요. 나도 부족하지만 하나님의 은혜를 받
20,일반 광고,시편 3장 6절,천만인이 나를 에워싸 진 친다 하여도 나는 ＿＿＿ 아니하리이다,두려워하지,천만인이 나를 에워싸 진 친다 하여도 나는 두려워하지 아니하리이다,천만인이 에워싸도 기도,"다윗은 수많은 적들에게 둘러싸인 절박한 순간에도 무서워하지 않겠다고 말합니다. 여기서 '천만인'은 셀 수 없이 많은 사람, 즉 나를 죽이려는 온 무리를 뜻해요. '에워싸 진 친다'는 사방으로 완전히 포위당했다는 말이에요. 이렇게 도망갈 곳 없는 순간에도 다윗이 두렵지 않은 것은, 그 자"
21,일반 광고,데살로니가전서 5장 16-18절,항상 기뻐하라 쉬지 말고 기도하라 ＿＿＿에 감사하라,범사,항상 기뻐하라 쉬지 말고 기도하라 범사에 감사하라,성령의 언어,"이 말씀은 우리가 억지로 지켜야 할 규칙이 아니라, 성령님과 함께 살면 자연스럽게 나오는 '말투'예요. 성령님이 내 마음을 이끄시면 힘든 날에도 기뻐하고, 어려울 때 하나님께 기도하며, 모든 일에 감사하게 됩니다. 여기서 '범사'는 '모든 일'이라는 뜻이에요. 처음엔 외국어처럼 어색해도"
22,일반 광고,마태복음 28장 19절,너희는 가서 모든 민족을 제자로 삼아 ＿＿＿와 아들과 성령의 이름으로 세례를 베풀고,아버지,너희는 가서 모든 민족을 제자로 삼아 아버지와 아들과 성령의 이름으로 세례를 베풀고,아버지와 아들과 성령의 이름 안으로,"예수님이 제자들에게 주신 마지막 부탁이에요. '가서' 여러 나라 사람들을 예수님을 따르는 제자로 만들라고 하셨어요. 여기서 '제자로 삼다'는 그저 믿게만 하는 게 아니라, 함께 살아가는 가족으로 만드는 일이에요. 그리고 '아버지와 아들과 성령의 이름 안으로' 세례를 주라 하셨는데, 이는"
23,일반 광고,사도행전 16장 10절,이는 하나님이 저 사람들에게 ＿＿＿을 전하라고 우리를 부르신 줄로 인정함이러라,복음,이는 하나님이 저 사람들에게 복음을 전하라고 우리를 부르신 줄로 인정함이러라,건너와서 도우라,"바울 일행은 꿈에서 '마게도냐로 건너와서 도우라'는 음성을 들었어요. 이 구절은 그 음성을 사람 말이 아니라 하나님이 우리를 부르신 것이라고 확실히 믿었다는 뜻이에요. 여기서 '인정함'은 '아, 이건 하나님의 부르심이구나 하고 확신했다'는 말이에요. 그래서 바울은 망설이지 않고 바로 바"
24,일반 광고,시편 116편 1절,＿＿＿ 내 음성과 내 간구를 들으시므로 내가 그를 사랑하는도다,여호와께서,여호와께서 내 음성과 내 간구를 들으시므로 내가 그를 사랑하는도다,건너와서 도우시는 하나님,"이 구절은 '하나님이 내 기도를 들어주셨기 때문에 내가 하나님을 사랑한다'는 고백이에요. 여기서 '음성'은 내가 하나님께 소리 내어 부르는 것이고, '간구'는 도와달라고 간절히 비는 기도예요. 설교의 하갈처럼, 광야에서 홀로 울부짖을 때 하나님이 그 울음을 들어주시고 샘물로 응답하셨듯이"
25,일반 광고,요한계시록 2장 7절,이기는 그에게는 내가 하나님의 낙원에 있는 ＿＿＿의 열매를 주어 먹게 하리라,생명나무,이기는 그에게는 내가 하나님의 낙원에 있는 생명나무의 열매를 주어 먹게 하리라,교회에 왔더니 예수만 보여요,"예수님은 끝까지 믿음을 지키며 이기는 사람에게 생명나무 열매를 주겠다고 약속하세요. 여기서 '이기는 그'는 힘이 센 사람이 아니라, 삶이 영적 전쟁터 같아도 예수님만 바라보며 끝까지 견디는 사람이에요. '생명나무의 열매'는 하나님 나라에서 누리는 영원한 생명과 기쁨을 뜻해요. 처음 사랑"
26,일반 광고,디모데전서 1장 11절,이 교훈은 내게 맡기신 바 복되신 ＿＿＿의 영광의 복음을 따름이니라,하나님,이 교훈은 내게 맡기신 바 복되신 하나님의 영광의 복음을 따름이니라,유리 보석에 속지 마십시오,"바울이 전하는 이 가르침이 어디서 왔는지 알려주는 구절이에요. 바른 교훈은 사람이 지어낸 멋진 지식이 아니라, '복되신 하나님'의 '영광의 복음'에서 나온 것이라는 말씀이지요. 여기서 '복음'은 예수님을 통해 우리를 구원하시는 기쁜 소식이에요. 반짝이는 유리 보석 같은 가짜에 속지 말고"
27,일반 광고,누가복음 5장 10절,＿＿＿ 말라 이제 후로는 네가 사람을 취하리라,무서워하지,무서워하지 말라 이제 후로는 네가 사람을 취하리라,은혜라서 감사,"밤새 고기를 못 잡고 지쳐 있던 베드로에게 예수님이 하신 말씀이에요. 여기서 '무서워하지 말라'는, 못난 나 자신 때문에 겁내지 말라는 다독임이에요. '사람을 취하리라'는, 이제부터 사람을 살리고 하나님께 데려오는 일을 맡기신다는 뜻이에요. 자격 없는 나를 그냥 믿어 주시고 부르시는 은"
28,일반 광고,이사야 26장 3절,주께서 심지가 ＿＿＿한 자를 평강하고 평강하도록 지키시리니 이는 그가 주를 신뢰함이니이다,견고,주께서 심지가 견고한 자를 평강하고 평강하도록 지키시리니 이는 그가 주를 신뢰함이니이다,샬롬 샬롬,"이 말씀은 하나님을 믿고 마음을 하나님께 기대는 사람에게 하나님이 깊은 평안을 주신다는 뜻이에요. 여기서 '심지가 견고한 자'는 마음이 원래 단단한 사람이 아니라, 하나님께 마음을 딱 기대어 놓은 사람을 말해요. 또 '평강'은 문제가 하나도 없는 상태가 아니라, 나를 지켜 주시는 주님이"
29,일반 광고,골로새서 3장 23절,무슨 일을 하든지 마음을 다하여 주께 하듯 하고 ＿＿＿에게 하듯 하지 말라,사람,무슨 일을 하든지 마음을 다하여 주께 하듯 하고 사람에게 하듯 하지 말라,"주 안에서, 주께 하듯","이 말씀은 ""무슨 일이든"" 하나님께 드리듯 하라는 뜻이에요. 여기서 '주께 하듯'은 옆에 있는 사람이 아니라 하나님이 보고 계신다고 여기며 일한다는 말이에요. 그래서 설거지나 공부, 회사 일처럼 아무도 알아주지 않는 일도 똑같이 귀합니다. 칭찬을 받으려고 애쓰는 대신, 하나님이 기뻐하실"
30,일반 광고,요한2서 1장 12절,오히려 너희에게 가서 대면하여 말하려 하니 이는 너희 ＿＿＿을 충만하게 하려 함이라,기쁨,오히려 너희에게 가서 대면하여 말하려 하니 이는 너희 기쁨을 충만하게 하려 함이라,서로의 기쁨을 충만하게 하는 교회,"이 말씀은 '편지로 다 쓰기보다, 직접 찾아가 얼굴을 보고 이야기하고 싶다. 그래야 우리의 기쁨이 완전해지기 때문이다'라는 뜻이에요. 문자나 전화도 좋지만, 직접 만나 얼굴을 마주할 때 전해지는 사랑과 기쁨은 그 무엇으로도 대신할 수 없다는 말씀입니다."
31,일반 광고,마태복음 10장 31절,＿＿＿ 말라 너희는 많은 참새보다 귀하니라,두려워하지,두려워하지 말라 너희는 많은 참새보다 귀하니라,복음 여행 준비물,"이 말씀은 무서운 일이 닥쳐도 겁먹지 말라고 하시는 예수님의 위로예요. 여기서 '참새'는 그 당시 아주 값싸게 팔리던 작은 새인데, 그런 참새 한 마리도 하나님이 다 돌보세요. 그러니 예수님의 피값으로 사신 여러분은 얼마나 더 귀하겠어요? 세상 누구와 비교하며 주눅 들지 말고, 나를 귀"
32,일반 광고,사무엘상 16장 7절,사람은 ＿＿＿를 보거니와 나 여호와는 중심을 보느니라,외모,사람은 외모를 보거니와 나 여호와는 중심을 보느니라,나는 하나님의 몽당연필입니다,"우리는 겉모습을 보고 사람을 판단하기 쉬워요. 사무엘도 다윗의 형처럼 키 크고 잘생긴 사람에게 마음이 갔지요. 하지만 하나님은 겉이 아니라 '중심'을 보십니다. 여기서 '중심'은 겉으로 보이지 않는 우리의 속마음, 진짜 모습을 뜻해요. 그래서 몽당연필처럼 보잘것없어 보여도 하나님 손에 "
